order_id,product_name,supplier_id,quantity,unit_price,order_date
5200008292,WASTE PAPER NO.12 DSOCC,100860,130.000,150.00,6/12/2025
5200008516,WASTE PAPER NO.12 DSOCC,100860,260.000,142.00,9/2/2025
5200008361,WASTE PAPER NO.11 OCC,100821,125.000,125.00,7/8/2025
5200008423,WASTE PAPER NO.12 DSOCC,100821,125.000,135.00,8/7/2025
5200008132,WASTE PAPER NO.3 SMP,100030,27.000,0.10,4/10/2025
5200008177,WASTE PAPER NO.12 DSOCC,100030,520.000,155.00,4/23/2025
5200008249,WASTE PAPER NO.12 DSOCC,100030,260.000,143.00,5/13/2025
5200008265,WASTE PAPER NO.12 DSOCC,100030,260.000,150.00,6/6/2025
5200008366,WASTE PAPER NO.12 DSOCC,100030,260.000,146.00,7/8/2025
5200008371,WASTE PAPER NO.12 DSOCC,100030,260.000,146.00,7/9/2025
5200008456,WASTE PAPER NO.12 DSOCC,100030,220.000,143.00,8/18/2025
5200008201,WASTE PAPER NO.12 DSOCC,100741,540.000,154.00,5/1/2025
5200008227,WASTE PAPER NO.12 DSOCC,100741,920.000,144.00,5/6/2025
5200008257,WASTE PAPER NO.11 OCC,100741,500.000,125.00,5/28/2025
5200008262,WASTE PAPER NO.3 SMP,100741,125.000,65.00,6/2/2025
5200008049,TISSUE,100812,100.000,230.00,2/25/2025
5200008050,TISSUE,100812,100.000,230.00,2/25/2025
5200008088,Virgin Baled tissue w Cores,100812,100.000,256.00,4/1/2025
5200008089,Virgin Baled tissue w Cores,100812,100.000,256.00,4/1/2025
5200008092,WASTE PAPER NO.12 DSOCC,100812,115.000,156.00,4/1/2025
5200008093,WASTE PAPER NO.12 DSOCC,100812,115.000,156.00,4/1/2025
5200008109,WASTE PAPER NO.12 DSOCC,100812,115.000,157.00,4/8/2025
5200008110,WASTE PAPER NO.12 DSOCC,100812,115.000,157.00,4/8/2025
5200008495,WASTE PAPER NO.12 DSOCC,100812,115.000,140.00,9/2/2025
5200008496,WASTE PAPER NO.12 DSOCC,100812,115.000,140.00,9/2/2025
5200008439,WASTE PAPER NO.12 DSOCC,100574,260.000,145.00,8/12/2025
5200008431,WASTE PAPER NO.11 OCC,100016,230.000,140.00,8/8/2025
5200008313,WASTE PAPER NO.12 DSOCC,100540,500.000,137.00,6/18/2025
5200008400,WASTE PAPER NO.12 DSOCC,100540,500.000,137.00,7/23/2025
5200008411,WASTE PAPER NO.11 OCC,100540,500.000,132.00,7/30/2025
5200008475,WASTE PAPER NO.12 DSOCC,100540,500.000,137.00,8/27/2025
5200008018,WASTE PAPER NO.12 DSOCC,100700,345.000,153.00,2/14/2025
5200008061,WASTE PAPER NO.12 DSOCC,100700,570.000,149.00,3/5/2025
5200008397,WASTE PAPER NO.12 DSOCC,100700,230.000,143.00,7/23/2025
5200008405,WASTE PAPER NO.12 DSOCC,100700,460.000,143.00,7/28/2025
5200008408,WASTE PAPER NO.12 DSOCC,100700,230.000,143.00,7/29/2025
5200008442,WASTE PAPER NO.12 DSOCC,100700,460.000,143.00,8/14/2025
5200008466,WASTE PAPER NO.12 DSOCC,100700,230.000,143.00,8/20/2025
5200008505,WASTE PAPER NO.12 DSOCC,100700,690.000,140.00,9/5/2025
5200008512,WASTE PAPER NO.12 DSOCC,100700,690.000,138.00,9/10/2025
5200008135,WASTE PAPER NO.12 DSOCC,100801,240.000,155.00,4/10/2025
5200008126,WASTE PAPER NO.11 OCC,100003,230.000,156.00,4/9/2025
5200008128,WASTE PAPER NO.3 SMP,100003,230.000,84.00,4/9/2025
5200008429,WASTE PAPER NO.3 SMP,100003,230.000,92.00,8/8/2025
5200008430,WASTE PAPER NO.11 OCC,100003,230.000,140.00,8/8/2025
5200008248,WASTE PAPER NO.12 DSOCC,100831,130.000,146.00,5/13/2025
5200008272,WASTE PAPER NO.12 DSOCC,100831,130.000,145.00,6/9/2025
5200008365,WASTE PAPER NO.12 DSOCC,100831,130.000,142.00,7/8/2025
5200008427,WASTE PAPER NO.12 DSOCC,100831,130.000,142.00,8/8/2025
5200008508,WASTE PAPER NO.12 DSOCC,100831,130.000,137.00,9/8/2025
5200007916,WASTE PAPER NO.12 DSOCC,100384,460.000,155.00,1/7/2025
5200007988,WASTE PAPER NO.12 DSOCC,100384,345.000,152.00,2/3/2025
5200008017,WASTE PAPER NO.12 DSOCC,100384,510.000,152.00,2/14/2025
5200008055,WASTE PAPER NO.12 DSOCC,100384,280.000,149.00,2/28/2025
5200008373,WASTE PAPER NO.12 DSOCC,100384,345.000,145.00,7/10/2025
,,,,,
