order_id,product_name,supplier_id,quantity,unit_price,order_date
5200008088,Virgin Baled tissue w Cores,100812,100,256.0,4/1/2025
5200008089,Virgin Baled tissue w Cores,100812,100,256.0,4/1/2025
5200008049,TISSUE,100812,100,230.0,2/25/2025
5200008050,TISSUE,100812,100,230.0,2/25/2025
5200008109,WASTE PAPER NO.12 DSOCC,100812,115,157.0,4/8/2025
5200008110,WASTE PAPER NO.12 DSOCC,100812,115,157.0,4/8/2025
5200008092,WASTE PAPER NO.12 DSOCC,100812,115,156.0,4/1/2025
5200008093,WASTE PAPER NO.12 DSOCC,100812,115,156.0,4/1/2025
5200008126,WASTE PAPER NO.11 OCC,100003,230,156.0,4/9/2025
5200008177,WASTE PAPER NO.12 DSOCC,100030,520,155.0,4/23/2025
5200008135,WASTE PAPER NO.12 DSOCC,100801,240,155.0,4/10/2025
5200007916,WASTE PAPER NO.12 DSOCC,100384,460,155.0,1/7/2025
5200008201,WASTE PAPER NO.12 DSOCC,100741,540,154.0,5/1/2025
5200008018,WASTE PAPER NO.12 DSOCC,100700,345,153.0,2/14/2025
5200007988,WASTE PAPER NO.12 DSOCC,100384,345,152.0,2/3/2025
5200008017,WASTE PAPER NO.12 DSOCC,100384,510,152.0,2/14/2025
5200008292,WASTE PAPER NO.12 DSOCC,100860,130,150.0,6/12/2025
5200008265,WASTE PAPER NO.12 DSOCC,100030,260,150.0,6/6/2025
5200008061,WASTE PAPER NO.12 DSOCC,100700,570,149.0,3/5/2025
5200008055,WASTE PAPER NO.12 DSOCC,100384,280,149.0,2/28/2025
5200008366,WASTE PAPER NO.12 DSOCC,100030,260,146.0,7/8/2025
5200008371,WASTE PAPER NO.12 DSOCC,100030,260,146.0,7/9/2025
5200008248,WASTE PAPER NO.12 DSOCC,100831,130,146.0,5/13/2025
5200008439,WASTE PAPER NO.12 DSOCC,100574,260,145.0,8/12/2025
5200008272,WASTE PAPER NO.12 DSOCC,100831,130,145.0,6/9/2025
5200008373,WASTE PAPER NO.12 DSOCC,100384,345,145.0,7/10/2025
5200008227,WASTE PAPER NO.12 DSOCC,100741,920,144.0,5/6/2025
5200008249,WASTE PAPER NO.12 DSOCC,100030,260,143.0,5/13/2025
5200008456,WASTE PAPER NO.12 DSOCC,100030,220,143.0,8/18/2025
5200008397,WASTE PAPER NO.12 DSOCC,100700,230,143.0,7/23/2025
5200008405,WASTE PAPER NO.12 DSOCC,100700,460,143.0,7/28/2025
5200008408,WASTE PAPER NO.12 DSOCC,100700,230,143.0,7/29/2025
5200008442,WASTE PAPER NO.12 DSOCC,100700,460,143.0,8/14/2025
5200008466,WASTE PAPER NO.12 DSOCC,100700,230,143.0,8/20/2025
5200008516,WASTE PAPER NO.12 DSOCC,100860,260,142.0,9/2/2025
5200008365,WASTE PAPER NO.12 DSOCC,100831,130,142.0,7/8/2025
5200008427,WASTE PAPER NO.12 DSOCC,100831,130,142.0,8/8/2025
5200008495,WASTE PAPER NO.12 DSOCC,100812,115,140.0,9/2/2025
5200008496,WASTE PAPER NO.12 DSOCC,100812,115,140.0,9/2/2025
5200008431,WASTE PAPER NO.11 OCC,100016,230,140.0,8/8/2025
5200008505,WASTE PAPER NO.12 DSOCC,100700,690,140.0,9/5/2025
5200008430,WASTE PAPER NO.11 OCC,100003,230,140.0,8/8/2025
5200008512,WASTE PAPER NO.12 DSOCC,100700,690,138.0,9/10/2025
5200008313,WASTE PAPER NO.12 DSOCC,100540,500,137.0,6/18/2025
5200008400,WASTE PAPER NO.12 DSOCC,100540,500,137.0,7/23/2025
5200008475,WASTE PAPER NO.12 DSOCC,100540,500,137.0,8/27/2025
5200008508,WASTE PAPER NO.12 DSOCC,100831,130,137.0,9/8/2025
5200008423,WASTE PAPER NO.12 DSOCC,100821,125,135.0,8/7/2025
5200008411,WASTE PAPER NO.11 OCC,100540,500,132.0,7/30/2025
5200008361,WASTE PAPER NO.11 OCC,100821,125,125.0,7/8/2025
5200008257,WASTE PAPER NO.11 OCC,100741,500,125.0,5/28/2025
5200008429,WASTE PAPER NO.3 SMP,100003,230,92.0,8/8/2025
5200008128,WASTE PAPER NO.3 SMP,100003,230,84.0,4/9/2025
5200008262,WASTE PAPER NO.3 SMP,100741,125,65.0,6/2/2025
5200008132,WASTE PAPER NO.3 SMP,100030,27,0.1,4/10/2025
